x;y
219757.1233;8268032.9768
219766.2218;8268037.7011
219778.5429;8268044.2421
219793.0347;8268052.1613
219800.9162;8268056.2376
219809.2551;8268059.2617
219811.6861;8268061.2313
219822.1913;8268062.4009
219832.3501;8268063.5706
219831.8472;8268048.2337
219832.1935;8268043.5747
219832.8531;8268039.2256
219834.2797;8268034.9664
219827.0728;8268030.5373
219821.6141;8268028.9077
219807.7846;8268024.1167
219802.1033;8268022.8954
219792.5152;8268020.4117
219780.3511;8268018.1455
219765.9924;8268017.1566
219762.8479;8268017.2017
219759.4422;8268026.5894
