ESTE (X),NORTE (Y)
214550.2820,8267885.6990
214557.1160,8267862.1370
214559.4730,8267854.0107
214556.3034,8267851.4065
214554.3204,8267847.8328
214557.5452,8267837.1963
214551.0287,8267835.4009
214560.0851,8267808.0025
214617.8656,8267824.1175
214619.8920,8267817.4150
214624.0540,8267819.1960
214615.2150,8267795.1840
214605.5500,8267792.5290
214596.2480,8267789.9970
214586.1580,8267787.2580
214574.5940,8267787.6850
214545.1450,8267794.8080
214522.5100,8267799.9410
214517.5393,8267801.9769
214490.5249,8267810.2534
214472.7536,8267815.2501
214469.7752,8267824.4797
214499.2620,8267845.3360
214523.2100,8267866.2450
214534.4610,8267875.0690
214543.2020,8267880.9140
