VÉRTICE,LADO,DISTANCIA(m),ESTE(X),NORTE(Y)
P1,P1  -  P2,14.13,215858.5938,8271751.6812
P2,P2  -  P3,40.70,215872.3807,8271748.6019
P3,P3  -  P4,45.94,215880.0493,8271708.6307
P4,P4  -  P5,64.94,215878.3050,8271662.7253
P5,P5  -  P6,32.24,215898.4376,8271600.9842
P6,P6  -  P7,73.86,215927.5615,8271587.1473
P7,P7  -  P8,68.59,215966.6168,8271524.4619
P8,P8  -  P9,39.96,215960.6676,8271456.1263
P9,P9  -  P10,72.13,215986.3585,8271425.5212
P10,P10 - P11,49.79,216007.2653,8271356.4879
P11,P11 - P12,135.09,216048.6589,8271328.8140
P12,P12 - P13,153.31,216136.0391,8271225.7867
P13,P13 - P14,143.58,216174.2428,8271077.3098
P14,P14 - P15,114.86,216179.0458,8270933.8075
P15,P15 - P16,28.62,216263.2688,8270855.7167
P16,P16 - P17,38.01,216281.5400,8270833.6911
P17,P17 - P18,23.02,216302.9399,8270865.1026
P18,P18 - P19,37.86,216325.3410,8270870.4213
P19,P19 - P20,26.83,216359.3180,8270887.1282
P20,P20 - P21,59.08,216385.9114,8270883.5616
P21,P21 - P22,13.65,216437.8468,8270855.4038
P22,P22 - P23,137.45,216443.6382,8270843.0384
P23,P23 -  P24,33.26,216547.3949,8270752.8911
P24,P24  -  P25,52.78,216560.3737,8270722.2678
P25,P25  -  P26,53.06,216566.2461,8270669.8130
P26,P26  - P27,100.43,216619.3078,8270670.3136
P27,P27  -  P28,48.48,216673.6210,8270754.7868
P28,P28  -  P29,39.81,216718.9237,8270772.0569
P29,P29  -  P30,31.99,216727.3084,8270810.9772
P30,P30  -  P31,23.73,216758.6687,8270817.2821
P31,P31   -  P32,27.97,216775.9910,8270801.0612
P32,P32  -  P33,41.53,216799.5591,8270786.0043
P33,P33  -  P34,61.18,216809.6776,8270745.7294
P34,P34 - P35,95.95,216849.7822,8270699.5335
P35,P35  -  P36,18.85,216886.5620,8270788.1587
P36,P36  -  P37,58.29,216888.9687,8270806.8565
P37,P37  -  P38,50.23,216835.7587,8270830.6610
P38,P38  -  P39,67.37,216806.6176,8270871.5728
P39,P39  -  P40,28.46,216785.9349,8270935.6918
P40,P40  -  P41,29.22,216773.6817,8270961.3762
P41,P41   -  P42,23.93,216768.2312,8270990.0799
P42,P42  -  P43,7.38,216781.6195,8271009.9094
P43,P43  -  P44,28.77,216782.7303,8271017.2064
P44,P44  -  P45,12.17,216760.9287,8271035.9722
P45,P45  -  P46,73.85,216758.7732,8271047.9472
P46,P46  -  P47,11.94,216797.5279,8271110.8136
P47,P47  -  P48,21.81,216808.1319,8271116.2925
P48,P48  -  P49,4.16,216821.8281,8271133.2716
P49,P49  -  P50,11.03,216825.6870,8271134.8185
P50,P50   -  P51,27.24,216832.0445,8271143.8265
P51,P51 -  P52,11.62,216812.9720,8271163.2722
P52,P52 -  P53,26.56,216805.3942,8271172.0803
P53,P53  -  P54,32.15,216800.5621,8271198.1946
P54,P54  -  P55,14.41,216796.6206,8271230.0976
P55,P55  -  P56,31.65,216789.3561,8271242.5449
P56,P56  -  P57,43.90,216791.1700,8271274.1380
P57,P57  -  P58,8.20,216801.4688,8271316.8087
P58,P58  -  P59,8.07,216801.1555,8271325.0069
P59,P59 -  P60,33.41,216798.4344,8271332.5052
P60,P60  -  P61,44.09,216804.8000,8271365.4081
P61,P61 -  P62,15.12,216824.9205,8271404.6347
P62,P62  -  P63,12.52,216816.2944,8271417.0469
P63,P63 -  P64,19.73,216821.1511,8271428.5844
P64,P64  -  P65,17.14,216828.5976,8271446.8546
P65,P65  -  P66,46.08,216822.3549,8271462.8169
P66,P66  -  P67,16.26,216850.5505,8271499.2700
P67,P67  -  P68,19.96,216852.9381,8271515.3555
P68,P68  -  P69,6.50,216854.7459,8271531.4520
P69,P69 -  P70,35.28,216870.4932,8271534.4914
P70,P70  - P71,2.35,216860.2038,8271568.2385
P71,P71 -  P72,19.35,216858.5569,8271569.9183
P72,P72 -  P73,13.70,216844.8917,8271583.6171
P73,P73 -  P74,16.92,216841.1300,8271596.7877
P74,P74  -  P75,25.21,216846.2918,8271612.8977
P75,P75  -  P76,31.19,216846.8854,8271638.0987
P76,P76  -  P77,44.45,216835.0775,8271666.9624
P77,P77  -  P78,53.45,216842.2085,8271710.8369
P78,P78  -  P79,61.44,216814.7845,8271756.7127
P79,P79  -  P80,36.41,216780.5728,8271807.7415
P80,P80  -  P81,21.94,216744.5394,8271802.5052
P81,P81  -  P82,65.92,216735.4357,8271822.4682
P82,P82  -  P83,29.03,216733.2201,8271888.3532
P83,P83  -  P84,26.69,216716.0580,8271911.7686
P84,P84  -  P85,13.74,216723.9409,8271937.2731
P85,P85  -  P86,20.51,216732.6394,8271947.9075
P86,P86  -  P87,19.04,216724.5345,8271966.7467
P87,P87  -  P88,19.47,216737.0432,8271981.1036
P88,P88  -  P89,28.89,216754.4455,8271989.8298
P89,P89  -  P90,29.12,216773.6953,8272011.3771
P90,P90  -  P91,19.65,216792.3719,8272033.7222
P91,P91  -  P92,25.46,216810.3476,8272025.7940
P92,P92  -  P93,37.54,216826.6096,8272006.2020
P93,P93  -  P94,61.30,216830.4673,8271968.8565
P94,P94  -  P95,55.53,216869.7250,8271921.7770
P95,P95  -  P96,29.04,216881.4756,8271867.5087
P96,P96  -  P97,23.61,216895.8480,8271842.2743
P97,P97  -  P98,43.70,216914.7294,8271828.0918
P98,P98  -  P99,29.35,216954.7638,8271810.5714
P99,P99  -  P100,52.45,216978.4037,8271793.1807
P100,P100  -  P101,4.72,216980.8493,8271740.7876
P101,P101 - P102,13.70,216983.8938,8271737.1809
P102,P102  -  P103,35.73,216996.4461,8271742.6663
P103,P103  -  P104,16.17,217030.4808,8271731.7954
P104,P104  -  P105,17.17,217043.4495,8271722.1305
P105,P105  -  P106,23.65,217050.5088,8271706.4790
P106,P106  -  P107,42.06,217054.1597,8271683.1081
P107,P107  -  P108,25.47,217052.3084,8271641.0843
P108,P108  -  P109,27.69,217061.1047,8271617.1836
P109,P109  -  P110,34.97,217057.6993,8271589.7045
P110,P110  -  P111,55.79,217036.6857,8271561.7559
P111,P111 - P112,59.44,217042.4331,8271506.2580
P112,P112 - P113,18.40,217056.8056,8271448.5806
P113,P113 - P114,21.55,217066.1398,8271432.7241
P114,P114 - P115,61.60,217085.5420,8271423.3562
P115,P115  -  P116,28.39,217143.7404,8271403.1708
P116,P116 - P117,27.56,217166.2735,8271385.8971
P117,P117 -  P118,22.95,217180.6980,8271362.4191
P118,P118 - P119,93.90,217165.9670,8271344.8167
P119,P119  -  P120,30.31,217072.8077,8271333.0441
P120,P120  -  P121,32.39,217053.8981,8271309.3528
P121,P121  -  P122,30.90,217045.4452,8271278.0901
P122,P122  -  P123,110.70,217057.1217,8271249.4793
P123,P123  -  P124,42.31,217045.5204,8271139.3906
P124,P124  -  P125,84.84,217007.0140,8271121.8652
P125,P125  -  P126,9.82,216986.6278,8271039.5110
P126,P126  -  P127,21.06,216988.9658,8271029.9708
P127,P127  -  P128,35.88,217009.1639,8271024.0179
P128,P128  -  P129,32.18,217017.6213,8270989.1526
P129,P129  -  P130,224.37,216985.4867,8270990.8786
P130,P130  -  P131,26.33,216963.1061,8270767.6299
P131,P131  -  P132,49.57,216937.2366,8270762.7037
P132,P132  -  P133,94.34,216888.6100,8270772.3303
P133,P133  -  P134,23.30,216852.4498,8270685.1982
P134,P134  -  P135,27.01,216849.7823,8270662.0517
P135,P135  -  P136,24.56,216831.8232,8270641.8761
P136,P136  -  P137,56.61,216833.2580,8270617.3614
P137,P137  -  P138,56.87,216884.8420,8270594.0369
P138,P138  -  P139,26.78,216860.3327,8270542.7230
P139,P139  -  P140,57.93,216836.6746,8270530.1717
P140,P140  -  P141,90.09,216779.7414,8270540.8563
P141,P141  -  P142,53.84,216752.7802,8270454.8966
P142,P142  -  P143,30.09,216765.3456,8270402.5485
P143,P143  -  P144,16.38,216795.1321,8270406.7884
P144,P144  -  P145,46.45,216802.4714,8270392.1484
P145,P145  -  P146,7.48,216841.0508,8270418.0149
P146,P146  -  P147,13.55,216848.4307,8270419.2447
P147,P147  -  P148,63.90,216861.7087,8270416.5628
P148,P148  -  P149,41.29,216884.7120,8270356.9484
P149,P149  -  P150,13.97,216919.0303,8270379.9000
P150,P150 - P151,18.74,216922.8319,8270393.3405
P151,P151  -  P152,27.01,216940.0490,8270400.7490
P152,P152 - P153,32.44,216966.4848,8270406.2978
P153,P153 - P154,20.68,216993.5473,8270388.4118
P154,P154  -  P155,91.49,217002.7660,8270369.8959
P155,P155  -  P156,194.05,217060.8447,8270299.2101
P156,P156 - P157,54.92,217177.5429,8270144.1705
P157,P157 - P158,41.68,217222.6056,8270112.7741
P158,P158  -  P159,63.00,217247.8775,8270079.6258
P159,P159  -  P160,101.81,217271.3515,8270021.1582
P160,P160  -  P161,68.89,217299.3659,8269923.2741
P161,P161  -  P162,23.01,217342.8128,8269869.8159
P162,P162  -  P163,39.45,217359.5764,8269854.0494
P163,P163  -  P164,79.36,217394.4147,8269835.5435
P164,P164  -  P165,58.87,217469.8384,8269810.8691
P165,P165  -  P166,42.55,217524.3591,8269788.6641
P166,P166  -  P167,23.60,217564.9529,8269775.9070
P167,P167  -  P168,9.87,217588.3213,8269772.6178
P168,P168  -  P169,22.36,217598.1584,8269773.4376
P169,P169  -  P170,34.72,217618.7861,8269764.8140
P170,P170  -  P171,114.15,217630.0632,8269731.9740
P171,P171  -  P172,30.70,217715.5612,8269656.3431
P172,P172  -  P173,19.94,217746.2519,8269655.5138
P173,P173  -  P174,21.47,217765.8510,8269651.8246
P174,P174  -  P175,14.69,217786.8374,8269656.3337
P175,P175  -  P176,56.31,217798.7195,8269664.9719
P176,P176  -  P177,20.97,217853.7043,8269677.1273
P177,P177  -  P178,16.76,217874.5553,8269679.3589
P178,P178  -  P179,53.51,217889.6836,8269686.5758
P179,P179  -  P180,99.84,217941.3869,8269700.3445
P180,P180  -  P181,54.34,218039.8812,8269716.7071
P181,P181  -  P182,135.10,218093.7334,8269709.4461
P182,P182  -  P183,61.73,218214.6240,8269649.1260
P183,P183  -  P184,21.85,218257.6577,8269604.8742
P184,P184 - P185,20.86,218265.0009,8269584.2954
P185,P185  -  P186,32.74,218278.9488,8269568.7826
P186,P186  -  P187,45.56,218310.9861,8269562.0247
P187,P187  -  P188,30.77,218352.0338,8269542.2517
P188,P188  -  P189,24.28,218360.1644,8269512.5727
P189,P189 - P190,56.81,218383.8208,8269507.0858
P190,P190  -  P191,33.75,218431.5805,8269476.3190
P191,P191  -  P192,43.55,218464.8282,8269470.5368
P192,P192  -  P193,21.43,218506.1266,8269456.7279
P193,P193 - P194,16.12,218524.2057,8269445.2177
P194,P194  -  P195,29.29,218539.5095,8269440.1576
P195,P195  -  P196,13.13,218565.1567,8269426.0071
P196,P196  -  P197,14.36,218573.7579,8269416.0911
P197,P197  -  P198,25.19,218579.6820,8269403.0088
P198,P198  -  P199,32.90,218566.8461,8269381.3302
P199,P199  -  P200,9.12,218591.9380,8269360.0535
P200,P200  -  P201,11.63,218596.3951,8269368.0088
P201,P201  -  P202,4.59,218605.0036,8269375.8271
P202,P202  -  P203,18.33,218609.1100,8269373.7676
P203,P203  -  P204,32.92,218623.0371,8269361.8502
