V,ESTE,NORTE
22,193265.32,8315126.6
23,193365,8315373
24,193581,8315858
25,193601,8316056
26,193698,8316279
27,193483,8316296
28,193271,8316387
29,193187,8316598
30,192950.6,8316876.43
31,192778.51,8317003.78
32,192539.65,8317337.87
33,192476.47,8317437.52
34,192569.93,8317890.79
35,192492.46,8317920.31
36,192722.38,8318338.44
37,192797.17,8318851.64
38,192509,8319998
39,192442,8320045
40,191621,8319738
41,189893,8321196
42,189020,8321073
43,188282,8321341
44,188843,8319249
45,189525,8316772
46,189980,8315875
47,191097,8315376
48,191960,8315280
49,192558,8315228
