V,ESTE,NORTE
1,190924.3,8316656.93
2,190869.7,8316662.39
3,190840.84,8316681.88
4,190822.12,8316737.23
5,190745.25,8317104.78
6,190727.77,8317144.7
7,190646.65,8317264.44
8,190566.18,8317411.85
9,190510.36,8317448.7
10,190394.13,8317739.95
11,190264.09,8318037.36
12,190230.39,8318170.82
13,190290.29,8318230.69
14,190286.55,8318296.8
15,190333.98,8318354.18
16,190347.7,8318300.54
17,190372.67,8318264.37
18,190412,8318248.16
19,190502.2,8318274.35
20,190559.87,8318270.61
21,190601.06,8318243.17
22,190622.28,8318195.77
23,190674.69,8317984.97
24,190764.55,8317821.57
25,190896.3,8317699.57
26,190907.53,8317630.97
27,190963.7,8317559.87
28,190994.9,8317536.17
29,191009.87,8317501.25
30,191039.83,8317380.26
31,191128.74,8317239.81
32,191212.36,8317132.54
33,191248.56,8317036.5
34,191249.81,8316989.1
35,191302.22,8316904.28
36,191359.89,8316847.79
37,191364.88,8316812.87
38,191341.17,8316772.95
39,191272.52,8316739.27
40,191152.71,8316764.22
41,191096.55,8316797.9
42,190924.3,8316656.93
