vertice,x_wgs84,y_wgs84,zona,hemisferio
1,194881.63,8318025.96,19,S
2,194746.63,8318542.95,19,S
3,194722.63,8319087.94,19,S
4,194035.64,8319215.94,19,S
5,193739.64,8319165.94,19,S
6,193736.80,8319721.75,19,S
7,192625.66,8319344.93,19,S
8,192344.75,8319602.28,19,S
9,192632.92,8318455.94,19,S
10,192558.13,8317942.74,19,S
11,192351.35,8317566.69,19,S
12,192419.44,8317554.53,19,S
13,192309.41,8317077.32,19,S
14,192465.70,8316854.79,19,S
15,192601.70,8316654.74,19,S
16,192777.49,8316524.40,19,S
17,193018.50,8316240.33,19,S
18,193098.98,8316033.83,19,S
19,193296.31,8315951.96,19,S
20,193514.29,8315934.98,19,S
21,194410.64,8317414.97,19,S
