vertice,x_wgs84,y_wgs84,zona,hemisferio
22,193071.98,8314757.60,19,S
23,193171.66,8315004.00,19,S
24,193387.66,8315488.99,19,S
25,193407.66,8315686.99,19,S
26,193504.66,8315909.99,19,S
27,193289.66,8315926.98,19,S
28,193077.66,8316017.98,19,S
29,192993.66,8316228.98,19,S
30,192757.26,8316507.40,19,S
31,192585.18,8316634.75,19,S
32,192346.32,8316968.84,19,S
33,192283.14,8317068.49,19,S
34,192376.60,8317521.75,19,S
35,192299.13,8317551.27,19,S
36,192529.04,8317969.39,19,S
37,192603.83,8318482.59,19,S
38,192315.66,8319628.93,19,S
39,192248.66,8319675.93,19,S
40,191427.67,8319368.93,19,S
41,189699.69,8320826.90,19,S
42,188826.71,8320703.90,19,S
43,188088.72,8320971.90,19,S
44,188649.72,8318879.93,19,S
45,189331.71,8316402.97,19,S
46,189786.71,8315505.98,19,S
47,190903.69,8315006.99,19,S
48,191766.68,8314910.99,19,S
49,192364.67,8314859.00,19,S
