vertice,x_wgs84,y_wgs84,zona,hemisferio
1,190730.99,8316287.90,19,S
2,190676.39,8316293.36,19,S
3,190647.53,8316312.85,19,S
4,190628.81,8316368.20,19,S
5,190551.94,8316735.74,19,S
6,190534.46,8316775.66,19,S
7,190453.35,8316895.40,19,S
8,190372.88,8317042.81,19,S
9,190317.06,8317079.66,19,S
10,190200.83,8317370.90,19,S
11,190070.79,8317668.31,19,S
12,190037.09,8317801.77,19,S
13,190096.99,8317861.64,19,S
14,190093.25,8317927.75,19,S
15,190140.68,8317985.13,19,S
16,190154.40,8317931.49,19,S
17,190179.37,8317895.32,19,S
18,190218.70,8317879.11,19,S
19,190308.89,8317905.30,19,S
20,190366.56,8317901.56,19,S
21,190407.75,8317874.12,19,S
22,190428.97,8317826.72,19,S
23,190481.38,8317615.92,19,S
24,190571.24,8317452.52,19,S
25,190702.99,8317330.53,19,S
26,190714.22,8317261.93,19,S
27,190770.39,8317190.83,19,S
28,190801.59,8317167.13,19,S
29,190816.56,8317132.21,19,S
30,190846.52,8317011.22,19,S
31,190935.43,8316870.77,19,S
32,191019.05,8316763.51,19,S
33,191055.25,8316667.47,19,S
34,191056.50,8316620.07,19,S
35,191108.91,8316535.25,19,S
36,191166.58,8316478.76,19,S
37,191171.57,8316443.84,19,S
38,191147.86,8316403.92,19,S
39,191079.21,8316370.24,19,S
40,190959.40,8316395.19,19,S
41,190903.24,8316428.87,19,S
42,190730.99,8316287.90,19,S
