ESTE (X),NORTE (Y)
216870.0966,8270125.2910
216869.1317,8270129.8601
216868.1588,8270138.3483
216866.4601,8270147.4265
216864.6131,8270151.3355
216860.9107,8270157.3843
216857.0680,8270162.7033
216856.5817,8270163.4832
216859.9872,8270168.3122
216861.6283,8270171.4415
216863.8297,8270175.2009
216866.8807,8270182.7994
216868.2331,8270185.7087
216871.7787,8270191.1675
216874.9120,8270196.1165
216879.9667,8270200.2157
216883.6116,8270195.9566
216887.7262,8270191.8473
216897.3737,8270181.5795
216903.2284,8270175.2509
216906.0731,8270172.4113
216912.1832,8270167.2825
216917.8482,8270162.6933
216920.1571,8270160.9737
216915.1105,8270152.5454
216912.1998,8270147.6163
216905.5619,8270138.3082
216901.6203,8270132.2195
216897.4315,8270127.2406
216891.0822,8270120.5217
216880.6267,8270108.7842
216877.9465,8270112.6736
216875.2832,8270115.8628
216873.8895,8270117.5024
216872.9165,8270119.1624
