FID,ESTE__X_,NORTE__Y_,x_wgs84,y_wgs84
0,216870.096599999989849,8270125.291000000201166,216676.550412000011420,8269757.008759999647737
1,216869.131699999998091,8270129.860100000165403,216675.585514000005787,8269761.577789999544621
2,216868.158800000004703,8270138.348299999721348,216674.612605000002077,8269770.065870000049472
3,216866.460099999996601,8270147.426500000059605,216672.913904999993974,8269779.143930000253022
4,216864.613099999987753,8270151.335500000044703,216671.066920999990543,8269783.052869999781251
5,216860.910700000007637,8270157.384300000034273,216667.364559000008740,8269789.101569999940693
6,216857.067999999999302,8270162.703300000168383,216663.521899999992456,8269794.420479999855161
7,216856.581700000009732,8270163.483199999667704,216663.035605000011856,8269795.200369999743998
8,216859.987200000003213,8270168.312199999578297,216666.441041999991285,8269800.029299999587238
9,216861.628300000011222,8270171.441499999724329,216668.082109999988461,8269803.158560000360012
10,216863.829700000002049,8270175.200899999588728,216670.283468000008725,8269806.917910000309348
11,216866.880700000008801,8270182.799399999901652,216673.334402000007685,8269814.516309999860823
12,216868.233100000012200,8270185.708700000308454,216674.686775000009220,8269817.425569999963045
13,216871.778699999995297,8270191.167500000447035,216678.232308000006014,8269822.884300000034273
14,216874.912000000011176,8270196.116499999538064,216681.365549000009196,8269827.833239999599755
15,216879.966699999989942,8270200.215699999593198,216686.420164000010118,8269831.932389999739826
16,216883.611600000003818,8270195.956600000150502,216690.065023000002839,8269827.673360000364482
17,216887.726200000004610,8270191.847299999557436,216694.179574000008870,8269823.564129999838769
18,216897.373699999996461,8270181.579499999992549,216703.826961999991909,8269813.296509999781847
19,216903.228399999992689,8270175.250900000333786,216709.681592999986606,8269806.968019999563694
20,216906.073100000008708,8270172.411299999803305,216712.526260000013281,8269804.128469999879599
21,216912.183199999999488,8270167.282499999739230,216718.636284999985946,8269798.999760000035167
22,216917.848200000007637,8270162.693300000391901,216724.301215000014054,8269794.410640000365674
23,216920.157100000011269,8270160.973699999973178,216726.610086000000592,8269792.691080000251532
24,216915.110500000009779,8270152.545400000177324,216721.563582000002498,8269784.262889999896288
25,216912.199800000002142,8270147.616299999877810,216718.652938000013819,8269779.333850000053644
26,216905.561900000000605,8270138.308199999853969,216712.015160000009928,8269770.025870000012219
27,216901.620300000009593,8270132.219499999657273,216708.073634000000311,8269763.937250000424683
28,216897.431500000006054,8270127.240600000135601,216703.884908999985782,8269758.958410000428557
29,216891.082200000004377,8270120.521700000390410,216697.535719000006793,8269752.239590000361204
30,216880.626699999993434,8270108.784199999645352,216687.080404000007547,8269740.502229999750853
31,216877.946499999990920,8270112.673600000329316,216684.400232000014512,8269744.391569999977946
32,216875.283200000005309,8270115.862800000235438,216681.736961999995401,8269747.580719999969006
33,216873.889499999990221,8270117.502399999648333,216680.343277999985730,8269749.220289999619126
34,216872.916499999992084,8270119.162399999797344,216679.370288000005530,8269750.880260000005364
