FID;x_psad56;y_psad56;x_wgs84;y_wgs84
0;216870.0966;8270125.2910;216676.5504;8269757.0088
1;216869.1317;8270129.8601;216675.5855;8269761.5778
2;216868.1588;8270138.3483;216674.6126;8269770.0659
3;216866.4601;8270147.4265;216672.9139;8269779.1439
4;216864.6131;8270151.3355;216671.0669;8269783.0529
5;216860.9107;8270157.3843;216667.3646;8269789.1016
6;216857.0680;8270162.7033;216663.5219;8269794.4205
7;216856.5817;8270163.4832;216663.0356;8269795.2004
8;216859.9872;8270168.3122;216666.4410;8269800.0293
9;216861.6283;8270171.4415;216668.0821;8269803.1586
10;216863.8297;8270175.2009;216670.2835;8269806.9179
11;216866.8807;8270182.7994;216673.3344;8269814.5163
12;216868.2331;8270185.7087;216674.6868;8269817.4256
13;216871.7787;8270191.1675;216678.2323;8269822.8843
14;216874.9120;8270196.1165;216681.3655;8269827.8332
15;216879.9667;8270200.2157;216686.4202;8269831.9324
16;216883.6116;8270195.9566;216690.0650;8269827.6734
17;216887.7262;8270191.8473;216694.1796;8269823.5641
18;216897.3737;8270181.5795;216703.8270;8269813.2965
19;216903.2284;8270175.2509;216709.6816;8269806.9680
20;216906.0731;8270172.4113;216712.5263;8269804.1285
21;216912.1832;8270167.2825;216718.6363;8269798.9998
22;216917.8482;8270162.6933;216724.3012;8269794.4106
23;216920.1571;8270160.9737;216726.6101;8269792.6911
24;216915.1105;8270152.5454;216721.5636;8269784.2629
25;216912.1998;8270147.6163;216718.6529;8269779.3339
26;216905.5619;8270138.3082;216712.0152;8269770.0259
27;216901.6203;8270132.2195;216708.0736;8269763.9373
28;216897.4315;8270127.2406;216703.8849;8269758.9584
29;216891.0822;8270120.5217;216697.5357;8269752.2396
30;216880.6267;8270108.7842;216687.0804;8269740.5022
31;216877.9465;8270112.6736;216684.4002;8269744.3916
32;216875.2832;8270115.8628;216681.7370;8269747.5807
33;216873.8895;8270117.5024;216680.3433;8269749.2203
34;216872.9165;8270119.1624;216679.3703;8269750.8803
